Drink_ID,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11
12768,1/2 cup black ,1/2 cup ,1-2 tsp ,,,,,,,,
11375,1/2 oz ,1/2 oz ,2 oz ,,,,,,,,
17197,1 1/2 oz ,2 tsp superfine ,1 1/2 oz ,4 oz Chilled ,1,1,,,,,
178344,2 oz,1 tsp,3,1 Sprig,2 dashes,Top,,,,,
11382,2 oz ,1/2 oz ,Juice of 1/4 ,Juice of 1/2 ,1 slice ,1 slice ,,,,,
12674,1 cup fruit ,1,4 oz frozen ,1/2 piece textural ,6,,,,,,
12670,1 can frozen ,1 cup ,2 tblsp ,1,1,1 L ,,,,,
14688,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,
178328,2 shots,1 shot,1 shot,Juice of 1/2,Top,,,,,,
15743,2-Jan,2-Jan,,,,,,,,,
17213,4.5 cl,1.5 cl,1.5 cl,,,,,,,,
17248,1 oz,1 oz,1 oz,1,,,,,,,
13070,1/2 oz ,1/2 oz ,1 dash ,,,,,,,,
11368,2 oz ,1/2 oz ,,,,,,,,,
11387,1 1/2 oz ,1 tblsp ,1 1/2 oz ,1 tsp ,1,1 cup crushed ,,,,,
12672,1 cup ,1 cup ,,,,,,,,,
11369,1 oz ,1 oz ,1 dash ,1/4 tsp ,,,,,,,
17198,1 1/2 oz ,3/4 oz ,,,,,,,,,
13202,1 oz ,1 oz ,1 oz Bacardi ,1 oz ,1 oz ,,,,,,
16485,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
13675,1/4 glass ,3/4 glass ,,,,,,,,,
11390,2 oz ,1 tblsp ,6,1 tsp ,,,,,,,
11391,1 1/2 oz ,4 chunks ,1 tblsp ,1/2 tsp ,,,,,,,
15997,2 1/2 shots ,,,,,,,,,,
17255,2 1/2 oz,1/2 oz,1/2 oz,1,,,,,,,
11422,1 oz ,1 oz ,1 oz ,,,,,,,,
11410,2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,
11417,2 oz ,1 oz ,1/2 tsp superfine ,1,1,,,,,,
12758,5 parts ,3 parts ,1 part ,1 part ,,,,,,,
11424,1 1/2 oz ,3/4 oz ,,,,,,,,,
11423,1 1/2 oz ,3/4 oz ,,,,,,,,,
12944,1 L ,125 ml ,60 gr ,1,3,1 tblsp ,,,,,
178365,4 cl,10 cl,1 Slice,cubes,,,,,,,
11420,2 oz ,2 tsp ,1/2 tsp ,1 twist of ,,,,,,,
11416,2 oz ,1 oz ,1 cube ,4,1 slice ,1,,,,,
11408,2 oz ,1 oz ,1/2 tsp superfine ,1/2 tsp ,1,1,,,,,
178366,6 cl,8 cl,1 Slice,cubes,,,,,,,
11415,2 oz ,Juice of 1/2 ,1 tsp ,1 tsp ,Twist of ,,,,,,
17252,1 1/2 oz,3 oz,,,,,,,,,
17230,2 oz ,1 tsp ,Juice of 1/2 ,Top up with,Garnish,,,,,,
11418,1 1/2 oz ,1 tsp ,1 tblsp ,3 chunks,2,,,,,,
15427,1 1/2 cl ,1 1/2 cl ,1 1/2 cl ,3 cl ,,,,,,,
11407,2 oz ,,,,,,,,,,
11419,1 1/2 oz ,1 tsp superfine ,2 oz ,1 dash ,3 oz ,,,,,,
11433,1 1/2 oz ,1 oz ,1 oz ,1/2 tsp ,1,,,,,,
17200,3/4 oz ,3/4 oz white ,3/4 oz ,,,,,,,,
14642,1 oz ,1 oz Bacardi ,1 dash ,,,,,,,,
178342,2 oz,5 oz,1/4 whole,,,,,,,,
16262,4 cl ,8 cl ,,,,,,,,,
178316,6 cl,2 cl,2 cl,,,,,,,,
178345,50 ml,15 ml,1,1,2,,,,,,
15813,5 shots ,very sweet ,,,,,,,,,
17202,1 long strip ,2 oz ,5 oz ,2 dashes ,,,,,,,
12766,1 1/2 cl ,,,,,,,,,,
17239,25 ml,15 ml,10 ml,100 ml,2,,,,,,
178313,1 bottle,3,1,10,6,20 cl,,,,,
11470,1 oz ,1 oz ,1 tsp ,,,,,,,,
12954,,", orange
",,,,,,,,,
17044,2 1/2 cups ,1 cup ,1 1/2 oz instant ,2 oz ,3 cups boiling ,1 fifth ,,,,,
14782,1 shot ,3/4 shot ,6 oz hot ,,,,,,,,
11462,1 oz ,1/2 oz ,4 oz ,,,,,,,,
11472,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,
17201,12 parts,8 parts,3 parts,3 parts,,,,,,,
11476,1 1/2 oz ,3/4 oz ,2 dashes ,1,,,,,,,
12738,12 oz fine ,1 tsp ,1/2 tsp ,1 cup ,mini ,,,,,,
17176,½,2 tsp,4 cl,top up with,fill,,,,,,
13539,1 1/2 oz ,6 oz ," to taste
",,,,,,,,
12770,1/4 cup instant ,1/4 cup ,1/4 cup hot ,4 cups cold ,,,,,,,
12820,1 cup ,1 1/4 cup ,1 can sweetened ,3 drops ,1 tblsp ,,,,,,
13971,1 1/2 oz ,8 oz ,1 tsp ,1 tblsp ,,,,,,,
11528,1 oz ,1/2 oz ,1 oz ,1 oz ,1 slice ,1,,,,,
11524,1/2 oz ,1 1/2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,
17015,1 shot ,1 shot ,1 dash ,Fill with ,,,,,,,
12706,4 cl ,2 cl ,4 cl ,,,,,,,,
12772,2 tsp ,Strong cold ,,,,,,,,,
16987,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,,
17178,2/3 oz,1/3 oz,1 tsp,2 pinches,,,,,,,
16178,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,
13847,1 oz ,1 oz ,,,,,,,,,
13775,1 oz ,1 oz ,,,,,,,,,
14956,2 cups ,3 packages ,3 cups ,,,,,,,,
14095,1 shot ,1 shot Jamaican ,cubes,,,,,,,,
11580,2 oz ,1 oz ,1 tsp superfine ,3 oz ,1,1,,,,,
11558,1 1/2 oz ,Juice of 1/2 ,1 tsp ,1 tblsp,1,,,,,,
15825,1/6 glass ,1/6 glass strong black ,1/2 glass cold ,,,,,,,,
12688,2 cups ,,,,,,,,,,
11566,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,
11542,1 1/2 oz ,1 tsp ,Juice of 1/2 ,,,,,,,,
16275,4/5 whole,2 oz ,1 tsp ,10-12 oz ,,,,,,,
17203,1 part ,5 parts ,,,,,,,,,
12764,1 part ,2 parts ,,,,,,,,,
11600,1 oz ,1 oz ,1 oz ,,,,,,,,
13837,1 part ,5 parts ,,,,,,,,,
14752,1 part ,2 parts ,cubes,,,,,,,,
14456,4 cl ,Turkish apple ," (if needed)
",,,,,,,,
16951,1 oz ,1/2 oz ,,,,,,,,,
178359,2-Jan,1 tsp,1 1/2 oz,Garnish with,,,,,,,
15026,4 cl ,2 cl ,7 cl ,8 cl ,cubes,,,,,,
13190,1 shot ,1 shot ,1 shot ,1 shot ,,,,,,,
17006,2 oz light ,1/2 tsp Tropical ,,,,,,,,,
11602,2 oz ,1/2 oz ,,,,,,,,,
11604,3 oz ,1/2 oz ,1 twist of ,,,,,,,,
14446,1/2 oz Grape ,1/2 oz ,,,,,,,,,
12714,3,1/2 whole,,,,,,,,,
12720,1 inch ,1/4 whole,1 cup hot ,,,,,,,,
12704,Juice of 1 ,1 tblsp ," (seltzer water)
",,,,,,,,
14378,3/4 bottle ,1 shot ,1 oz ,,,,,,,,
14366,1 1/2 shot ,1 1/2 shot ,Juice of 1 wedge ,,,,,,,,
12752,1/2 oz ,1/2 oz ," wedge
",Bacardi ,,,,,,,
13196,5 cl ,2-Jan,4 dashes ,1 dl Schweppes ,4,,,,,,
12692,1 cup ,2 cups cold ,1 tsp ,1 pinch ,,,,,,,
12694,2 cups ,2/3 whole,,,,,,,,,
12702,2 pieces ,1 gal ,1 lb ,1 cup ,ground ,,,,,,
11658,2 oz ,1/2 oz ,1/2 oz ,1 twist of ,,,,,,,
11662,1 1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,
12698,2,2 cups ,1/2 cup ,1 cup iced ,,,,,,,
12696,1 cup ,2 cups cold ,4 tblsp ,pinch ,2 tblsp ,,,,,,
15086,1 bottle ,1 oz ,,,,,,,,,
11670,1 1/2 oz ,1/2 oz ,,,,,,,,,
11634,2 oz ,2 tsp ,1 tsp ,Juice of 1/2,1,,,,,,
11002,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,
11666,,,,,,,,,,,
11664,3/4 oz ,1 1/2 oz ,,,,,,,,,
178335,30 ml,75 ml,Top,,,,,,,,
17204,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,
178360,2 tsp,1 shot,1/3 cup,Top,,,,,,,
12690,1/2 cup plain ,1 1/4 cup cold ,1/2 tsp ground roasted ,1/4 tsp ,1/4 tsp dried ,,,,,,
12776,,Unsweetened ,,,,,,,,,
11000,2-3 oz ,Juice of 1 ,2 tsp ,1/2 whole,,,,,,,
17205,Chilled ,2 oz ,,,,,,,,,
